media_key,tmdb_id,media_type,title,original_title,overview,release_date,first_air_date,last_air_date,year,rating,vote_count,popularity,budget,revenue,runtime,number_of_seasons,number_of_episodes,episode_run_time,genres,language,origin_country,status,tv_type,networks,production_companies,adult,poster_local,trailer_youtube,trailer_embed
tv_42509,42509,tv,Врата Штейна,Steins;Gate,"Гениальный учёный с друзьями случайно создают машину времени. Теперь за открытием охотится влиятельная организация, и им придётся использовать его самим, чтобы остановить коварные планы злодеев.",,2011-04-06,2011-09-14,2011,8.5,956,14.7396,0,0,0,1,24,24,"мультфильм, НФ и Фэнтези, детектив, комедия",ja,JP,Ended,Scripted,"Teletama, Sun TV",White Fox,False,anime_posters/tv_42509.jpg,,
tv_56998,56998,tv,Школа мертвецов,学園黙示録 HIGHSCHOOL OF THE DEAD,"Страшная зараза, превращающая людей в зомби, вырвалась на свободу и охватила Японию. Беда неслышно подкралась и к частной школе Фудзими. Лишь немногие школьники и учителя смогли сбежать от толпы живых мертвецов. Старшеклассник Такаси Комуро был вынужден убить лучшего друга, который превратился в зомби. Теперь парень готов на всё, чтобы защитить Рэи Миямото, девушку павшего товарища. Вместе с другими выжившими они отправляются на поиски членов своей семьи, попутно пытаясь выяснить причины этой масштабной пандемии.",,2010-07-05,2010-09-20,2010,8.149,982,14.8385,0,0,0,1,12,24,"мультфильм, Боевик и Приключения, драма, НФ и Фэнтези",ja,JP,Ended,Scripted,AT-X,"Madhouse, AT-X, Showgate, Geneon Universal Entertainment",False,anime_posters/tv_56998.jpg,,
tv_65648,65648,tv,Президент студсовета — горничная!,会長はメイド様！,"Мужская частная школа Сэйка, славная бесчинствами своих воспитанников, когда-то наводила ужас на всю округу. Для «смягчения нравов» в ней ввели совместное обучение, но результат пока очень и очень сомнителен. Впрочем, Мисаки Аюдзава – спортсменка, отличница и первая в истории Сэйки девушка-президент школьного совета – твердо решила изменить положение и принести в храм науки порядок и дисциплину.",,2010-04-02,2010-09-23,2010,8.5,619,7.4718,0,0,0,1,26,25,"мультфильм, комедия",ja,JP,Ended,Scripted,"MBS, TBS, CBC","J.C.STAFF, Hakusensha, NBCUniversal Entertainment Japan",False,anime_posters/tv_65648.jpg,,
tv_31911,31911,tv,Стальной Алхимик: Братство,鋼の錬金術師 FULLMETAL ALCHEMIST,"Нарушив главный запрет Алхимии и попытавшись воскресить маму, талантливые братья Элрики заплатили высокую цену: младший, Альфонс, потерял тело, и теперь его душа прикреплена к стальным доспехам, а старший, Эдвард, лишился руки и ноги, поэтому ему приходится пользоваться протезами — автобронёй. Благодаря проявленным способностям Эд получил звание государственного алхимика и, таким образом, стал частью военной машины государства. Теперь у него есть шанс вернуть Алу прежнее тело. Впереди странствия и приключения, разгадки страшных тайн и бесконечные сражения.",,2009-04-05,2010-07-04,2009,8.711,2473,49.3292,0,0,0,1,64,25,"мультфильм, Боевик и Приключения, НФ и Фэнтези, драма",ja,JP,Ended,Scripted,"MBS, TBS, CBC, Tulip Television, SBC, BSN, tys, NBC, HBC, RKK, i-Television, SBS, IBC, BSS, MRO, OBS, TUF, RSK, TUY, tbc, RKB, KUTV, RBC, UTY, RCC, MRT, ATV, MBC","BONES, Aniplex, Square Enix, MBS",False,anime_posters/tv_31911.jpg,,
tv_46195,46195,tv,Истории монстров,化物語,"Однажды он шёл по школьной лестнице, а сверху на него упала девушка. Впрочем, падала она медленно, да и вес её оказался странным, всего несколько килограмм. Приготовившийся было к сильному удару, Коёми с лёгкостью ловит её на руки. Девушка оказалась одноклассницей Арараги, Хитаги Сэндзёгахарой, красивой, но, на первый взгляд, застенчивой и абсолютно нелюдимой — за три года совместной учёбы они ни разу не разговаривали. И это касается не только Коёми — последние годы девушка не общалась ни с кем. Характер у неё, как оказалось, вовсе не застенчивый, и, на свою беду, Арараги об этом вскоре узнаёт, ведь Хитаги совсем не хочет, чтобы кто-то узнал о её секрете. А секрет заключается в её весе, который украло божество веса, предстающее в образе огромного краба. Коёми признаётся, что в прошлом сам пострадал от нападения сверхъестественного существа и по итогу превратился в вампира, однако его знакомый, Мэмэ Осино, помог ему снова стать человеком. Возможно, Мэмэ сможет помочь и ей...",,2009-07-03,2024-10-19,2009,8.1,521,39.7061,0,0,0,5,72,24,"мультфильм, комедия, драма, детектив",ja,JP,Returning Series,Scripted,"BS11, Gunma TV, Tokyo MX, tvk, Tochigi TV, ABEMA Anime","SHAFT, movic, Kodansha, Aniplex",False,anime_posters/tv_46195.jpg,,
tv_46261,46261,tv,Хвост Феи,FAIRY TAIL,"«Хвост Феи» — знаменитая на весь мир гильдия волшебников по найму. Молодая волшебница Люси была уверена, что, став одним из её членов, она попала в самую замечательную на свете гильдию. Но до тех пор, пока не познакомилась со своими новыми друзьями — взрывным огнедышащим и сметающим всё на своём пути Нацу, летающим говорящим котом Хэппи, эксгибиционистом Греем, занудой-берсерком Эрзой, гламурным и любвеобильным Локи. Вместе им предстоит одолеть немало врагов и пережить множество незабываемых приключений.",,2009-10-12,2019-09-29,2009,7.916,1034,17.539,0,0,0,8,328,25,"мультфильм, Боевик и Приключения, комедия, НФ и Фэнтези",ja,JP,Ended,Scripted,"TV Tokyo, TV Aichi, TVQ, TV Osaka, TVh, TSC","A-1 Pictures, SATELIGHT",False,anime_posters/tv_46261.jpg,,
tv_61709,61709,tv,Драконий жемчуг Кай,ドラゴンボール改「カイ」,"Сон Гоку живет спокойной жизнью, но затем появляются враги из космоса, планирующие вторжение на Землю. Будущее человечества под угрозой. Сон Гоку со своими друзьями сражаются против врагов, но они едва не погибают в битве против значительно более сильного противника. У сына Сон Гоку Гохана репутация труса, но он приходит на помощь отцу и становится сильнее его на некоторое время.",,2009-04-05,2015-06-28,2009,7.487,812,9.598,0,0,0,6,158,26,"НФ и Фэнтези, мультфильм, Боевик и Приключения, комедия",ja,JP,Ended,Scripted,Fuji TV,Toei Animation,False,anime_posters/tv_61709.jpg,,
tv_61389,61389,tv,Рыцари Зодиака OVA-4,聖闘士星矢 THE LOST CANVAS 冥王神話,"История происходит за 243 года до начала событий в «Saint Seiya». История круто замешана на мифологии, трое друзей, выросших вместе, оказываются втянуты в войны богов.

Со времён древних мифов, каждые 200 лет повторяется битва между богиней Афиной и Владыкой Ада Аидом. И вновь мир на грани начала новой Священной Войны. Когда тьма прорывается в мир, суждено появиться воинам надежды - Святым Афины. Надевая доспехи, названные в честь 88 созвездий, они сражаются не жалея своих жизней. Своими ударами они разрывают небеса и сотрясают землю под собой!",,2009-06-24,2011-07-20,2009,8.3,658,7.3294,0,0,0,1,26,24,"мультфильм, Боевик и Приключения, драма",ja,JP,Ended,Video,,TMS Entertainment,False,anime_posters/tv_61389.jpg,,
tv_42916,42916,tv,Торадора!,とらドラ！,"Семнадцатилетний парень Рюдзи, которого все боятся из-за страшного взгляда влюбляется в свою одноклассницу Минори, а его соседка Тайга влюбляется в Китамару. Они решают объединить свои усилия, но может быть они просто не в тех влюбились?",,2008-10-02,2009-03-26,2008,8.172,663,10.3904,0,0,0,1,25,23,"мультфильм, комедия, драма",ja,JP,Ended,Scripted,"TV Tokyo, TV Osaka",J.C.STAFF,False,anime_posters/tv_42916.jpg,https://www.youtube.com/watch?v=ZRXuX7SgmlQ,https://www.youtube.com/embed/ZRXuX7SgmlQ
tv_31910,31910,tv,Наруто: Ураганные хроники,ナルト 疾風伝,"В мире Наруто незаметно пролетели два года. Бывшие новички пополнили ряды опытных синоби в ранге тюнин и дзёнин. Главные герои не сидели на месте — каждый стал учеником одного из легендарных Саннин — трех великих ниндзя Конохи. Парень в оранжевом продолжил обучение у мудрого, но эксцентричного Дзирайи, постепенно восходя на новую ступень боевого мастерства. Сакура выдвинулась в помощницы и доверенные лица целительницы Цунадэ — нового вождя Деревни Листвы. Ну а Саскэ, чья гордыня привела к изгнанию из Конохи, вступил во временный союз со зловещим Оротимару, причем каждый считает, что лишь использует другого до поры до времени.",,2007-02-15,2017-03-23,2007,8.533,8667,49.0144,0,0,0,20,500,25,"мультфильм, Боевик и Приключения, НФ и Фэнтези",ja,JP,Ended,Scripted,TV Tokyo,"TV Tokyo, Pierrot, Rakuonsha, Aniplex",False,anime_posters/tv_31910.jpg,,
tv_21729,21729,tv,Гуррен-Лаганн,天元突破グレンラガン,"Сотни лет люди живут в глубоких пещерах,  в постоянном страхе перед землетрясениями и обвалами. В одной из таких  подземных деревень живет мальчик Симон и его «духовный  наставник» — молодой парень Камина. Камина верит, что наверху есть  другой мир, без стен и потолков; его мечта — попасть туда.

Но  мечты остаются пустыми фантазиями, пока в один прекрасный день Симон  случайно не находит сверло, оказавшееся ключом от странного железного  лица в толще земли. В этот же день потолок пещеры рушится…  Так начинается поистине эпическое приключение Симона, Камины и их  компаньонов в новом мире под открытым небом огромной Вселенной.",,2007-04-01,2007-09-30,2007,8.2,593,14.9631,0,0,0,1,27,24,"мультфильм, Боевик и Приключения, НФ и Фэнтези",ja,JP,Ended,Scripted,"TV Tokyo, TV Aichi, TVQ, TV Osaka, TVh, TSC","GAINAX, Aniplex, Konami, TV Tokyo, dentsu",False,anime_posters/tv_21729.jpg,,
tv_13916,13916,tv,Тетрадь смерти,DEATH NOTE,"Получив тетрадь, убивающую людей, лучший ученик школы решает искоренить зло, рискуя при этом самому стать его частью.",,2006-10-04,2007-06-27,2006,8.625,4940,28.1348,0,0,0,1,37,22,"мультфильм, детектив, НФ и Фэнтези",ja,JP,Ended,Scripted,Nippon TV,"Madhouse, Nippon Television Network Corporation, D.N. Dream Partners, VAP, Shueisha",False,anime_posters/tv_13916.jpg,,
tv_31724,31724,tv,Код Гиас: Восставший Лелуш,コードギアス 反逆のルルーシュ,"Альтернативная реальность: Британская Империя захватила треть мира, обрушивая на непокорных мощь своей военной машины.

В Японии, захваченной и переименованной в «Зону 11», вместе с младшей сестрой живёт старшеклассник Лелуш — изгнанный сын Императора, потерявший мать и право на престол. Юноша отличается от сверстников не только происхождением — он весьма одарённая личность, только где применить эти способности? Неожиданно Лелуш оказывается вовлечён в столкновение между японскими террористами и британскими солдатами. Так он знакомится с загадочной девушкой «C.C.» Она дарует ему сверхъестественную способность «Гиасс», позволяющую подчинять себе волю других людей.

Скрыв своё лицо маской, под именем «Зеро» Лелуш присоединяется к подпольному движению, горя желанием отомстить Британии и отцу. Будучи студентом Академии Ашфорд, юноша вынужден вести двойную жизнь. Но не ему одному приходится скрывать своё лицо и свои подлинные цели от окружающих…",,2006-10-05,2008-09-28,2006,8.3,887,21.2214,0,0,0,2,50,25,"мультфильм, НФ и Фэнтези, Боевик и Приключения, драма",ja,JP,Ended,Scripted,MBS,"SUNRISE, Bandai Visual, Hakuhodo DY Media Partners, MBS, Project Geass, Bandai Namco Entertainment",False,anime_posters/tv_31724.jpg,,
