id,name,original_name,overview,first_air_date,last_air_date,first_air_year,rating,vote_count,popularity,number_of_seasons,number_of_episodes,episode_run_time,genres,language,origin_country,status,tv_type,networks,production_companies,adult,poster_local,trailer_youtube,trailer_embed
61889,Сорвиголова,Marvel's Daredevil,"Ослеплённый с детства (из-за несчастного случая) адвокат Мэтт Мёрдок под именем «Сорвиголова» использует остальные, невероятно усиленные, чувства и бойцовские навыки для борьбы с преступностью на улицах ночной Адской кухни.",2015-04-10,2018-10-19,2015,8.168,5190,37.7217,3,39,,"криминал, драма, Боевик и Приключения",en,US,Canceled,Scripted,Netflix,"ABC Studios, DeKnight Productions, Goddard Textiles, Marvel Television",False,series_posters/61889.jpg,https://www.youtube.com/watch?v=Ec-OG4zEXso,https://www.youtube.com/embed/Ec-OG4zEXso
62286,Бойтесь ходячих мертвецов,Fear the Walking Dead,"Действия сериала происходят параллельно с событиями зомби-апокалипсиса, показанными в сериале «Ходячие мертвецы», но в совершенно другом месте — Лос-Анджелесе. Акцент будет сделан на семейные отношения, в частности, проблемы отцов и детей. История вращается вокруг Шона — разведённого школьного учителя и Нэнси руководительницы женского совета. А так же детей Нэнси: Ника, который борется с наркотической зависимостью и амбициозной дочери Эшли.",2015-08-23,2023-11-19,2015,7.618,5175,33.4407,8,113,,"Боевик и Приключения, драма",en,US,Ended,Scripted,AMC,"Valhalla Motion Pictures, AMC Studios, Circle of Confusion, Idiotbox, Skybound Entertainment",False,series_posters/62286.jpg,https://www.youtube.com/watch?v=n8U4Tz8JDUw,https://www.youtube.com/embed/n8U4Tz8JDUw
62710,Слепая зона,Blindspot,"В центре сюжета находится потерявшая свою память девушка, которая оказывается в центре расследования после того, как смогла выбраться из брезентового мешка в самом центре Нью-Йорк Сити на Таймс Сквер. Не имея ни малейшего представления о том, кто она такая, девушка не знает, что обозначают многочисленные загадочные татуировки, которыми покрыто все ее тело. Когда выясняется, что татуировки являются чем-то вроде дорожной карты, к делу подключается ФБР.",2015-09-21,2020-07-23,2015,7.376,2543,32.8585,5,100,,"криминал, драма, Боевик и Приключения",en,US,Ended,Scripted,NBC,"Quinn's House, Warner Bros. Television, Berlanti Productions",False,series_posters/62710.jpg,https://www.youtube.com/watch?v=I3u3_dVeISE,https://www.youtube.com/embed/I3u3_dVeISE
63401,Вся правда о медведях,We Bare Bears,"Три брата-медведя Гризли, Панда и Белый отчаянно пытаются влиться в общество людей, однако покупая еду, борясь за интернет-славу или заводя друзей, им не всегда удаётся соответствовать людской природе. Но братья всегда готовы прийти друг другу на выручку.",2015-08-24,2019-05-27,2015,7.73,1845,32.4642,4,138,11,"семейный, комедия, мультфильм, Детский",en,US,Ended,Scripted,Cartoon Network,Cartoon Network Studios,False,series_posters/63401.jpg,,
61733,Империя,Empire,"История о главе музыкальной империи, который узнает о том, что он неизлечимо болен и что жить ему осталось всего три года. Он желает, чтобы его империя продолжала жить и после него, и потому решает выбрать наследника. Его трое сыновей и бывшая жена начинают борьбу за «трон».",2015-01-07,2020-04-21,2015,7.147,756,32.5976,6,102,,"драма, Мыльная опера",en,US,Ended,Scripted,FOX,"20th Century Fox Television, Imagine Television Studios, Lee Daniels Entertainment, Little Chicken Productions, Danny Strong Productions",False,series_posters/61733.jpg,https://www.youtube.com/watch?v=fBWkACf646g,https://www.youtube.com/embed/fBWkACf646g
62017,Человек в высоком замке,The Man in the High Castle,"Германия и Япония выиграли Вторую мировую. Америка разделена пополам между победителями, но, разумеется, спустя много лет после поражения (действие разворачивается в 1962-м) сознательные американцы организуют глубоко засекреченное подполье. Занимаются повстанцы в основном распространением странной кинохроники, на которой показана победа в войне союзнических войск. Именно с этими пленками в руках в нейтральную зону между двумя Америками отправляются Джо и Джулс — юноша и девушка, пробующие свои силы в борьбе с режимом.",2015-01-15,2019-11-15,2015,7.525,1487,25.8373,4,40,,"НФ и Фэнтези, драма",en,US,Ended,Scripted,Prime Video,"Amazon Studios, Electric Shepherd Productions, Headline Pictures, Picrow, Scott Free Productions",False,series_posters/62017.jpg,,
61662,Шиттс Крик,Schitt's Creek,"Сериал рассказывает о семействе Роузов: Джонни Роуз — миллиардер, сделавший состояние на сети видеосалонов, его жена — актриса мыльных опер и двое детей — хипстер Дэвид и светская львица Алексис.

После того, как бизнес Джонни терпит крах, все семейство вынуждено переехать жить в небольшую сельскую общину Шиттс Крик, которую они приобрели несколько лет назад развлечения ради.",2015-01-13,2020-04-07,2015,7.78,697,27.4888,6,79,22,комедия,en,CA,Ended,Scripted,CBC Television,"Not A Real Company, CBC",False,series_posters/61662.jpg,,
61923,Звёздная принцесса и силы зла,Star vs. the Forces of Evil,"История о девочке, живущей в ином измерении, по имени Стар Баттерфляй, которая получила в 14 лет волшебную палочку. Но после того, как Стар чуть ли не превратила свой родной город в прах, родители отправили её в другое измерение, которое называется Земля, чтобы жить с семьёй Диаз, которая состоит из добродушных родителей и подростка по имени Марко. Все одноклассники и друзья считают его тихоней, который остерегается даже обыкновенного падения. Марко считает это неправдой, и из-за такой репутации подросток жаждет приключений и опасностей.",2015-01-18,2019-05-19,2015,8.4,1503,29.434,4,140,11,"Боевик и Приключения, мультфильм, комедия, НФ и Фэнтези, семейный",en,US,Ended,Scripted,"Disney XD, Disney Channel","Disney Television Animation, Rough Draft Korea, Sugarcube, Mercury Filmworks, Toon City Animation",False,series_posters/61923.jpg,,
62560,Мистер Робот,Mr. Robot,"Молодому программисту Эллиоту, страдающему диссоциальным расстройством личности, тяжело находить контакт с другими людьми. Он не знает, что такое нормы общения и как вести себя в социуме. Помимо прочего, герой — талантливый хакер, чьи навыки пользуются большим спросом среди представителей фирм правительственного уровня, обеспокоенных безопасностью своей деятельности в интернете. Однажды на связь с Эллиотом выходит некий мистер Робот — анархист, хакер и лидер подпольного радикального движения, которое под прикрытием пафосных лозунгов жаждет сломать бесполезные устои прогнившей власти. Новый знакомый предлагает Эллиоту вступить в его таинственную организацию, чтобы использовать знания талантливого компьютерщика в борьбе с могущественными американскими корпорациями.",2015-06-24,2019-12-22,2015,8.3,5368,28.1807,4,45,,"криминал, драма",en,US,Ended,Scripted,USA Network,"Anonymous Content, UCP, Esmail Corp",False,series_posters/62560.jpg,https://www.youtube.com/watch?v=fXoE1Ib2jRU,https://www.youtube.com/embed/fXoE1Ib2jRU
62649,Супермаркет,Superstore,"Сериал о большом разношерстном коллективе  работников гипермаркета, которые на своём рабочем месте переживают  множество приключений, несмотря на то, что территория их обитания  ограничивается стенами магазина.",2015-11-30,2021-03-25,2015,7.6,816,23.9595,6,113,,комедия,en,US,Ended,Scripted,NBC,"Universal Television, The District, Universal Television Entertainment",False,series_posters/62649.jpg,,
63351,Нарко,Narcos,"Преступную деятельность будущий влиятельнейший наркобарон Колумбии Пабло Эскобар начал ещё в детстве с воровства и мошенничества, после он перешёл на рэкет, вооружённые налёты и похищение людей. Когда вокруг Пабло сформировалась мощная группировка он решил расширяться в сторону самого перспективного и бездонного рынка — поставки колумбийского кокаина в Соединённые Штаты, где основной проблемой Управления по борьбе с наркотиками до этого момента были лишь добродушные хиппи с их марихуаной. Американские нарки в кратчайшие сроки озолотили юного Пабло и дали ему неограниченную власть на родине, где наркобарон, благодаря своим вложениям в местную экономику, стал настоящим героем. Вместе с несколькими влиятельными коллегами Эскобар создаёт Медельинский кокаиновый картель, закупает всевозможную технику для контрабанды своей продукции на север и открывает множество лабораторий по производству белого порошка в безлюдных джунглях. Держа в страхе политиков Колумбии Пабло всегда добивался желаемого любой ценой, предоставляя потенциальным жертвам выбор между получением взятки и пулей в голову.",2015-08-28,2017-09-01,2015,8.075,3307,25.8382,3,30,,"криминал, драма",en,US,Ended,Scripted,Netflix,Gaumont International Television,False,series_posters/63351.jpg,,
64199,Подлый Пит,Sneaky Pete,"По сюжету молодой мошенник Пит, отсидев положенный срок, решает завязать с тёмным прошлым, примерив на себя личину бывшего сокамерника. Скрываясь от местной мафии, парень пристраивается в семейный бизнес того самого сокамерника. Со временем он осознает, что такое настоящая семья, и даже обретёт любовь всей своей жизни, но прошлые грехи не позволят ему расслабиться ни на минуту, угрожая уничтожить и главного героя, и его новую жизнь.",2015-08-07,2019-05-10,2015,7.478,410,28.3452,3,30,,"драма, криминал",en,US,Canceled,Scripted,Prime Video,"Amazon Studios, Nemofilms, Shore Z Productions, Sony Pictures Television, Moonshot Entertainment, Exhibit A",False,series_posters/64199.jpg,,
78173,Драконы: гонка на грани,Dragons: Race to the Edge,Иккинг и Беззубик снова отправляются на поиски приключений.,2015-06-26,2018-02-16,2015,8.4,479,20.1072,6,78,23,"семейный, мультфильм, Боевик и Приключения, НФ и Фэнтези",en,US,Ended,Scripted,Netflix,DreamWorks Animation Television,False,series_posters/78173.jpg,,
61671,Несгибаемая Кимми Шмидт,Unbreakable Kimmy Schmidt,"Женщина, вызволенная из секты судного дня, оказывается в Нью-Йорке и пытается наладить жизнь в мире, который по ее представлениям должен был прекратить существование.",2015-03-06,2019-01-25,2015,7.104,624,20.4071,4,51,,комедия,en,US,Ended,Scripted,Netflix,"Universal Television, Little Stranger, Bevel Gears, 3 Arts Entertainment",False,series_posters/61671.jpg,,
64432,Волшебники,The Magicians,"В один прекрасный момент несколько молодых людей удивительным образом оказываются в университете магии Брэйкбиллз, находящемся в Нью-Йорке. Парни делают необычное открытие, вносящее кардинальные перемены в их жизнь: как оказалось, умопомрачительный мир, о котором они так часто читали в детские годы, действительно есть. Не говоря уже о том, что, у всех у них есть собственные волшебные возможности. Но скоро обнаруживается, что жители данной скрытой от постороннего взгляда местности представляют собой гигантскую опасность для всего населения Земли.",2015-12-16,2020-04-01,2015,7.6,1698,19.6204,5,65,45,"драма, НФ и Фэнтези",en,US,Ended,Scripted,Syfy,"UCP, Groundswell Productions, Man Sewing Dinosaur, McNamara Moving Company",False,series_posters/64432.jpg,,
62816,База Куантико,Quantico,"Шесть совершенно разных новобранцев поступают на стажировку в ФБР на базу Квантико в штате Вирджиния. Базой руководит Миранда Шоу, первая женщина на высшей должности в ФБР. Миранда объединяется со своим бывшим партнером Лиамом О`Коннором, который ныне работает советником, чтобы отобрать лучших новобранцев в агенты. Тем не менее в будущем один из новобранцев будет подозреваемым в планировании крупнейшего с 11 сентября террористического акта по Нью-Йорку.",2015-09-27,2018-08-03,2015,6.534,711,18.9475,3,57,,"криминал, драма, детектив",en,US,Canceled,Scripted,ABC,"Maniac Productions, ABC Studios, The Mark Gordon Company",False,series_posters/62816.jpg,,
60948,12 обезьян,12 Monkeys,"Коул является уголовником из постапокалиптического будущего. Его осудили за дерзкое поведение и неподчинение властям. В 2017 году некий вирус уничтожил почти всю популяцию людей, а те, кому удалось выжить, укрылись под землей. В то время ученые уже изобрели технологию путешествия во времени, и Коул стал «морской свинкой», на которой эту технологию решили испытать. Он должен добыть для изучения образцы вируса из прошлого и за это получит полное прощение за все содеянное.",2015-01-16,2018-07-06,2015,7.41,1167,16.5862,4,47,43,"НФ и Фэнтези, драма",en,US,Ended,Scripted,Syfy,Atlas Entertainment,False,series_posters/60948.jpg,https://www.youtube.com/watch?v=dHMSiRrYll8,https://www.youtube.com/embed/dHMSiRrYll8
38472,Джессика Джонс,Marvel's Jessica Jones,"После трагических событий, оборвавших короткую супергеройскую карьеру Джессики Джонс, девушка пытается восстановить свою личную жизнь и начать карьеру частного детектива, но все меняется, когда в жизнь бывшей героини врывается мужчина из её прошлого, способный контролировать разум людей.",2015-11-20,2019-06-14,2015,7.477,2607,19.3276,3,39,,"НФ и Фэнтези, драма",en,US,Ended,Scripted,Netflix,"Tall Girls Productions, ABC Studios, Marvel Television",False,series_posters/38472.jpg,https://www.youtube.com/watch?v=5Y8JHSbu9eY,https://www.youtube.com/embed/5Y8JHSbu9eY
62704,Футболисты,Ballers,"Совместный проект Дуэйна Скалы Джонсона, Марка Уолберга и режиссера «Хэнкока» Питера Берга - комедийная драма НВО о жизни профессиональных игроков в американский футбол.

Они зарабатывают миллионы, на них молятся фанаты, их показывают в новостях. Но помимо многочасовых тренировок, пятничных игр и вспышек фотокамер у них есть друзья, семьи и, конечно, проблемы – почти такие же, как у обычных людей. С девушкой помириться - это, знаете ли, не тачдаун оформить.",2015-06-21,2019-10-13,2015,6.79,804,17.7134,5,47,,"драма, комедия",en,US,Ended,Scripted,HBO,"Leverage Entertainment, Closest to the Hole Productions",False,series_posters/62704.jpg,,
