id,title,original_title,overview,release_date,year,rating,vote_count,budget,revenue,runtime,genres,language,adult,poster_local,trailer_youtube,trailer_embed
559,Человек-паук 3: Враг в отражении,Spider-Man 3,"Человек-паук предстает перед нами в новом облике. Загадка нового костюма обнаруживает темную сторону его личности. Но обстоятельства вынуждают выбирать между силой костюма и благородным образом героя, когда на горизонте появляются доселе невиданные злодеи: Песочный человек и Вимон, готовые обрушить всю мощь своего Разрушительного Возмездия, чтобы запугать Питера и тех, кто ему дорог. Сможет ли Питер обуздать своих внутренних демонов или это конец Человека-паука?",2007-05-01,2007,6.462,15257,258000000,894983373,139,"боевик, приключения, фантастика",en,False,posters2/559.jpg,https://www.youtube.com/watch?v=5P9hYR81eIM,https://www.youtube.com/embed/5P9hYR81eIM
2062,Рататуй,Ratatouille,"Париж! Рай для гурмана — лучшая еда, лучшие рестораны, лучшие повара! Реми мечтает стать одним из них — величайшим поваром столицы мировой кулинарии. У Реми есть для этого все — идеальный нюх и вкус, знание лучших рецептов и невероятные способности к импровизации. Есть только одна проблема... Реми — крыса. Родственники Реми, корят его за предательство традиций крысиного племени, а хозяин ресторана — повар по имени Живодэр — старается извести. Только поваренок Лингвини, который подружился с Реми, разделяет его склонность к несбыточным мечтам.",2007-06-28,2007,7.842,18532,150000000,623726000,111,"мультфильм, комедия, семейный, фэнтези",en,False,posters2/2062.jpg,https://www.youtube.com/watch?v=mqV_C5eqUus,https://www.youtube.com/embed/mqV_C5eqUus
6977,Старикам тут не место,No Country for Old Men,"Обычный работяга обнаруживает в пустыне гору трупов, грузовик, набитый героином, и соблазнительную сумму в два миллиона долларов наличными. Он решает взять деньги себе, и результатом становится волна насилия, которую не может остановить вся полиция Западного Техаса.",2007-11-09,2007,7.951,13363,25000000,171627166,122,"криминал, триллер, вестерн",en,False,posters2/6977.jpg,https://www.youtube.com/watch?v=2iA78PdzZGE,https://www.youtube.com/embed/2iA78PdzZGE
6479,Я - легенда,I Am Legend,"Неизвестный вирус унёс жизни половины населения земного шара, а остальную половину превратил в вампиров. Единственный уцелевший человек с иммунитетом к заболеванию ночами держит осаду упырей, а днём пытается найти противоядие и докопаться до причин эпидемии.",2007-12-12,2007,7.217,16881,150000000,585410052,96,"драма, фантастика, триллер",en,False,posters2/6479.jpg,https://www.youtube.com/watch?v=hjScKaQI8t4,https://www.youtube.com/embed/hjScKaQI8t4
13186,Поворот не туда 2: Тупик,Wrong Turn 2: Dead End,"В неком лесу снимается реалити-шоу в стиле игр на выживание. Участники и создатели шоу надеятся получить приз в виде кругленькой суммы наличными. Они еще не знают, что самый ценный приз - возможность выбраться из жуткого леса, населенного каннибалами...",2007-08-25,2007,6.2,1555,4000000,0,93,"ужасы, триллер",en,False,posters2/13186.jpg,,
7485,Стрелок,Shooter,"Опытный снайпер Бобби, работающий в ФБР, оказывается втянутым в заговор с целью убийства президента. Похоже, что его хотят подставить и «сдать» властям, поэтому ему необходимо как можно быстрее найти и обезвредить настоящего убийцу…",2007-03-22,2007,7.124,5476,61000000,95700000,124,"драма, боевик, триллер",en,False,posters2/7485.jpg,https://www.youtube.com/watch?v=XX89qT_Mhzg,https://www.youtube.com/embed/XX89qT_Mhzg
1265,Мост в Терабитию,Bridge to Terabithia,"Надежды ученика пятого класса Джесса Аарона стать самым быстрым бегуном в классе разбились после того, как новичок Лесли Берк одержала победу в соревнованиях. Оснований для враждебности по отношению друг к друг у Джесса и Лесли более чем достаточно, и тем не менее между ними завязывается дружба. Как тут не подружиться, если приходится быть королем и королевой в обнаруженном в лесу волшебном царстве?",2007-02-15,2007,7.336,5283,60000000,137587063,96,"приключения, драма, семейный",en,False,posters2/1265.jpg,https://www.youtube.com/watch?v=lDF45sSJcYY,https://www.youtube.com/embed/lDF45sSJcYY
8363,SuperПерцы,Superbad,"Сквозь огонь и водку трое приятелей спешат на вечеринку года в честь прощания с девственностью. Как взять на абордаж красотку-одноклассницу, подорвать полицейскую машину и остаться в живых?",2007-08-17,2007,7.269,8122,20000000,170800000,113,комедия,en,False,posters2/8363.jpg,https://www.youtube.com/watch?v=IVgDgQ3JX9U,https://www.youtube.com/embed/IVgDgQ3JX9U
1949,Зодиак,Zodiac,"4 июля 1969 года неизвестный расстреливает влюблённую парочку на окраине города Вальехо в штате Калифорния. Месяц спустя в издательства крупных газет начинают приходить зашифрованные письма, в которых убийца, называющий себя Зодиаком, угрожает убить ещё 12 человек, если текст письма, содержащий тайну его личности, не будет опубликован на передовице. Помимо полицейских из разных штатов к расследованию подключаются матёрый репортёр San Francisco Chronicle Пол Эйвери и молодой карикатурист Роберт Грейсмит, работающий в той же газете. Вскоре убийца наносит новый удар.",2007-03-02,2007,7.531,11586,65000000,84785914,158,"криминал, детектив, триллер",en,False,posters2/1949.jpg,https://www.youtube.com/watch?v=kgKX4zk83uk,https://www.youtube.com/embed/kgKX4zk83uk
1271,300 спартанцев,300,"События картины повествуют о кровопролитной битве при Фермопилах в 480 году до н. э., в которой триста отважных спартанцев во главе со своим царём Леонидом преградили путь многотысячной армии персидского царя Ксеркса. Несмотря на численный перевес персов, спартанцы продолжали упорную оборону, проявив мужество и отвагу. Их бесстрашие и героизм вдохновили всю Грецию на объединение против непобедимого врага, переломив тем самым ход Греко-персидских войн...",2007-03-07,2007,7.202,14758,65000000,456082343,117,"боевик, приключения, военный",en,False,posters2/1271.jpg,https://www.youtube.com/watch?v=pgEThdzilOc,https://www.youtube.com/embed/pgEThdzilOc
810,Шрэк Третий,Shrek the Third,"После того как король превратился в жабу, бразды правления королевством перешли Шрэку и его жене Фионе. Герои оказались не в восторге от такой перспективы, заявив что хотят спокойно жить на своём болоте. Тогда им предложили найти наследника престола – мальчугана Арти, племянника королевы Лилиан, а потом спокойно отправляться к себе домой на болото. Шрэк, Осёл и Кот отправляются в далёкое путешествие, чтобы уговорить мальчика стать королем Артуром, а Фионе в это время приходится удерживать трон, от посягательств на него принца Чарминга...",2007-05-17,2007,6.31,9791,160000000,813367380,93,"фэнтези, приключения, мультфильм, комедия, семейный",en,False,posters2/810.jpg,https://www.youtube.com/watch?v=-PWDXkUn1og,https://www.youtube.com/embed/-PWDXkUn1og
35,Симпсоны в кино,The Simpsons Movie,"После того, как Гомер сбросил отходы в водохранилище, Спрингфилд объявили карантинной зоной и накрыли гигантским стеклянным колпаком, а местные жители ополчились на Симпсонов, за то что их отрезали от остального мира…",2007-07-25,2007,7.023,8567,75000000,527068851,83,"мультфильм, комедия, семейный",en,False,posters2/35.jpg,,
6477,Элвин и бурундуки,Alvin and the Chipmunks,"Элвин и бурундуки, как это ни смешно, — настоящий бренд и легенда. Писклявое трио бурундуков и Дэйв Севиль за время своей музыкальной карьеры стали настоящей иконой. Более 43 миллионов проданных альбомов, несколько премий «Грэмми», популярный телевизионный анимационный сериал, рейтинговые субботние шоу. Их видели более чем в 100 странах мира, на более чем 40 языках. Теперь они пожалуют и к нам.",2007-12-13,2007,5.838,4748,60000000,361366633,91,"комедия, семейный, фэнтези, мультфильм",en,False,posters2/6477.jpg,https://www.youtube.com/watch?v=PhHWpSHXIS0,https://www.youtube.com/embed/PhHWpSHXIS0
